Year,river,date,DO,BOD,COD,SS,pH,NH3N,TEMP,COND,SAL,TUR,TC,Class
2022,KEROH,13/7/2022,4.156,10,33,34,7.032,4.27,27.072,232.981,0.109,39.862,320000,Polluted
2022,KEROH,14/9/2022,4.631,9,33,21,7.333,7.22,27.999,270.575,0.127,16.548,270000,Slightly Polluted
2022,KEROH,15/11/2022,5.509,10,33,47,7.221,2.97,27.461,210.166,0.098,49.771,500000,Slightly Polluted
2022,GOMBAK,13/1/2022,5.576,12,38,19,7.044,2.99,27.658,204.161,0.095,22.979,6600000,Slightly Polluted
2022,GOMBAK,11/3/2022,4.167,8,23,37,6.935,1.91,28.092,207.074,0.097,50.362,3900000,Slightly Polluted
2022,GOMBAK,17/5/2022,6.497,6,18,49,7.169,1.15,27.296,160.657,0.075,34.149,31000000,Slightly Polluted
2022,GOMBAK,16/7/2022,5.339,17,45,21,6.996,4.79,28.825,230.062,0.107,17.777,11600000,Polluted
2022,GOMBAK,15/9/2022,6.167,10,32,48,7.124,2.13,27.934,161.623,0.075,30.08,1810000,Slightly Polluted
2022,GOMBAK,4/11/2022,6.876,5,15,24,7.115,0.79,27.132,158.621,0.074,27.353,700000,Clean
2022,GOMBAK,11/1/2022,6.206,4,13,66,7.132,1.82,28.237,141.955,0.066,36.521,4100000,Slightly Polluted
2022,GOMBAK,7/3/2022,5.82,3,13,38,7.246,0.92,28.218,160.468,0.074,41.303,810000,Slightly Polluted
2022,GOMBAK,11/5/2022,7.18,6,45,354,7.125,0.57,25.94,86.453,0.039,357.142,1110000,Slightly Polluted
2022,GOMBAK,8/7/2022,5.9,7,26,12,6.986,<0.010,29.048,155.407,0.072,16.23,810000,Clean
2022,GOMBAK,6/9/2022,6.974,4,18,10,7.23,0.7,28.819,126.437,0.058,9.553,570000,Clean
2022,GOMBAK,11/11/2022,6.358,5,18,23,7.049,1.21,27.387,156.075,0.072,25.725,900000,Slightly Polluted
2022,BATU,14/1/2022,4.923,12,31,19,7.073,5.21,29.199,238.514,0.111,17.103,1420000,Slightly Polluted
2022,BATU,16/3/2022,4.671,9,23,21,7.162,3.63,30.325,234.497,0.109,25.043,1170000,Slightly Polluted
2022,BATU,12/5/2022,4.557,11,26,62,7.17,3.42,31.225,169.374,0.078,79.795,870000,Slightly Polluted
2022,BATU,12/7/2022,4.736,18,40,41,6.968,4.37,28.21,183.884,0.086,23.4,3800000,Polluted
2022,BATU,8/9/2022,6.385,7,24,58,7.284,<0.010,28.482,188.998,0.088,26.034,820000,Clean
2022,BATU,14/11/2022,5.508,10,28,20,7.148,4.51,27.316,234.438,0.11,28.705,1450000,Slightly Polluted
2022,JINJANG,10/1/2022,7.819,11,36,31,7.459,6.07,30.664,284.054,0.133,18.62,450000,Slightly Polluted
